borrower_id,borrower_name,sector,period,ead,pd,lgd,revenue,ebitda,debt,cash,interest_expense,max_leverage_covenant,min_interest_cover_covenant,min_liquidity_covenant
B001,Borrower 001,Industrials,2025-12-31,118358565.39016965,0.06395482289577153,0.2948397714364411,98998119.15536942,26619756.95245621,127494583.66480716,4088749.2116112667,12594057.460040772,5.629935241712135,1.6820374315023556,9340884.899637416
B001,Borrower 001,Industrials,2026-06-30,122236360.93958384,0.06395482289577153,0.2948397714364411,107895028.07619938,27204999.38273159,119960032.4190916,4360141.723654919,11364818.70708322,5.629935241712135,1.6820374315023556,9340884.899637416
B002,Borrower 002,Business Services,2025-12-31,105279883.1649182,0.019597903088897566,0.41335235130446196,133699591.84197167,32994292.06191751,112777917.46787876,19584819.314867966,10675112.878858645,3.770668391464148,1.4005763396878121,7147440.579182092
B002,Borrower 002,Business Services,2026-06-30,101383701.09690516,0.019597903088897566,0.41335235130446196,149005073.8259032,32827335.413309593,109020467.0685184,20385187.10000605,10084188.94880071,3.770668391464148,1.4005763396878121,7147440.579182092
B003,Borrower 003,Logistics,2025-12-31,41158508.90653795,0.06741948510464008,0.5316675251238806,60843682.82915914,13833363.680671575,51855853.271200694,7904895.452038708,4408434.882578585,4.513581730325532,1.5748265351093174,7142459.5357747795
B003,Borrower 003,Logistics,2026-06-30,42313947.7389021,0.06741948510464008,0.5316675251238806,48065392.375137925,8330571.694897204,60017180.28225706,6319610.224990743,6460392.700581813,4.513581730325532,1.5748265351093174,7142459.5357747795
B004,Borrower 004,Consumer,2025-12-31,45315869.356395766,0.04739270798608916,0.5177496000956089,102604839.5969012,21046618.987989303,53862254.597008444,4488305.966808618,4493197.254918067,3.6208499765113387,1.9196532208553945,6032864.446708722
B004,Borrower 004,Consumer,2026-06-30,44110193.006453596,0.04739270798608916,0.5177496000956089,98012147.64239256,21476917.103168834,50556471.70771142,4589555.834900212,4611821.723136879,3.6208499765113387,1.9196532208553945,6032864.446708722
B005,Borrower 005,Business Services,2025-12-31,42695629.29233167,0.03547901460800529,0.5349071346331121,70649100.56395938,10215197.726946766,47476827.76056035,6841931.482692907,4234691.400805864,5.148033562796825,1.2295256950740185,1810430.7469807758
B005,Borrower 005,Business Services,2026-06-30,42465740.12255071,0.03547901460800529,0.5349071346331121,72663951.38676105,9776889.224230107,47010987.95232831,6470371.025648131,4449106.552518544,5.148033562796825,1.2295256950740185,1810430.7469807758
B006,Borrower 006,Industrials,2025-12-31,43099018.07129717,0.07714232484121358,0.5680032417476625,88583820.69736685,12962706.081285425,58606084.1735731,6503603.831237935,3187145.13614097,5.660778933048453,1.5456309498973755,9722587.396129515
B006,Borrower 006,Industrials,2026-06-30,42908418.22293307,0.07714232484121358,0.5680032417476625,94950457.89844602,13265426.042385604,55617377.89624342,6041310.037341605,3499530.6182694025,5.660778933048453,1.5456309498973755,9722587.396129515
B007,Borrower 007,Logistics,2025-12-31,38607268.29853296,0.03740697798313278,0.4695580942458551,75072192.34711745,15572097.6237499,42155087.38010647,9969115.246734058,3706527.221991352,3.7080086944522095,2.044800582021266,1759998.8902590019
B007,Borrower 007,Logistics,2026-06-30,38945640.04983047,0.03740697798313278,0.4695580942458551,71849674.16473106,16095598.664227631,40442537.72335118,9404437.210484566,3416465.108856144,3.7080086944522095,2.044800582021266,1759998.8902590019
B008,Borrower 008,Technology,2025-12-31,43943157.9901773,0.07689194099310839,0.4188062029300151,50706734.3366395,14376699.162773961,62168363.12815253,3631838.2334531914,4945230.599030999,5.563526831501923,1.30754899989917,5379924.977543443
B008,Borrower 008,Technology,2026-06-30,44033999.05496164,0.07689194099310839,0.4188062029300151,56255597.493876636,15117062.538495831,61250017.7993405,3559538.1362934695,4870559.1243615765,5.563526831501923,1.30754899989917,5379924.977543443
B009,Borrower 009,Business Services,2025-12-31,25586386.49278578,0.05541800697798588,0.3484318243436529,23890174.378459476,6254070.744710283,34926752.95230086,1118774.2544654117,2713871.8232167372,6.675950248989349,2.1450929985729474,7917827.427258913
B009,Borrower 009,Business Services,2026-06-30,26430199.27570003,0.05541800697798588,0.3484318243436529,22294367.326458983,4184374.822469772,35188092.77367676,857490.9500137719,3236420.0569027197,6.675950248989349,2.1450929985729474,7917827.427258913
B010,Borrower 010,Consumer,2025-12-31,111888298.34030461,0.07520326775367225,0.3076127361537063,165485264.97157434,24784820.214268874,144039401.18489453,10741671.81269624,10911396.082772078,6.165490323549774,1.7656261780039493,9931380.076502534
B010,Borrower 010,Consumer,2026-06-30,114931799.15593523,0.07520326775367225,0.3076127361537063,178271213.121141,27880004.896095708,152799934.48149765,11339526.498790089,11535140.908017311,6.165490323549774,1.7656261780039493,9931380.076502534
B011,Borrower 011,Healthcare,2025-12-31,33870942.7907305,0.014206844930861452,0.5408894352437171,87258391.19726782,8794133.380680537,43857736.55940073,5365977.620586122,4247212.046044672,5.471099625345497,1.4330488006050608,6394445.123687591
B011,Borrower 011,Healthcare,2026-06-30,32664790.058858216,0.014206844930861452,0.5408894352437171,85809369.03136097,8718279.097479299,45609101.89066597,6393819.514528714,4531345.243575849,5.471099625345497,1.4330488006050608,6394445.123687591
B012,Borrower 012,Logistics,2025-12-31,6325307.037446498,0.057069682673216486,0.45339081322731584,22508531.78747628,2937910.954309367,7424949.659244236,2505628.16915317,416477.493648536,3.0670196531381535,2.2453618840369414,7438664.166542215
B012,Borrower 012,Logistics,2026-06-30,6318086.095618786,0.057069682673216486,0.45339081322731584,21884591.184479367,2786500.938702431,7922133.63778404,2553920.2888044966,440517.0191710133,3.0670196531381535,2.2453618840369414,7438664.166542215
