borrower_id,company_name,sector,country,currency,period,ead,baseline_pd,baseline_lgd,revenue,ebitda,debt,cash,interest_expense,max_leverage,min_interest_cover,min_liquidity,collateral_value,assets
B001,Alder Logistics,Industrials,GB,GBP,2025-09-30,39472279.174781,0.025,0.35,83046703.641697,15169760.399919,56388970.249687,9022235.23995,4511117.619975,4.5,1.5,4511117.619975,47930624.712234,73305661.324593
B001,Alder Logistics,Industrials,GB,GBP,2025-12-31,40261724.758276,0.027,0.358,73745472.833827,12742598.735932,58362584.208426,6423831.490844,4736673.500974,4.5,1.5,4511117.619975,47930624.712234,73305661.324593
B001,Alder Logistics,Industrials,GB,GBP,2026-03-31,41051170.341772,0.029,0.366,65485979.876439,10703782.938183,60405274.655721,4573768.021481,4962229.381972,4.5,1.5,4511117.619975,47930624.712234,73305661.324593
B001,Alder Logistics,Industrials,GB,GBP,2026-06-30,41840615.925268,0.031,0.374,58151550.130277,8991177.668074,62519459.268671,3256522.831295,5187785.262971,4.5,1.5,4511117.619975,47930624.712234,73305661.324593
B002,Beacon Foods,Healthcare,GB,GBP,2025-09-30,30211492.557907,0.03,0.37,77302602.179452,10922956.770298,43159275.082725,6905484.013236,3452742.006618,4.5,1.5,3452742.006618,36685383.820316,56107057.607542
B002,Beacon Foods,Healthcare,GB,GBP,2025-12-31,30815722.409065,0.032,0.378,72973656.457403,10049120.228674,44669849.71062,5911094.31533,3625379.106949,4.5,1.5,3452742.006618,36685383.820316,56107057.607542
B002,Beacon Foods,Healthcare,GB,GBP,2026-03-31,31419952.260224,0.034,0.386,68887131.695788,9245190.61038,46233294.450492,5059896.733922,3798016.20728,4.5,1.5,3452742.006618,36685383.820316,56107057.607542
B002,Beacon Foods,Healthcare,GB,GBP,2026-06-30,32024182.111382,0.036,0.394,65029452.320824,8505575.36155,47851459.756259,4331271.604238,3970653.307611,4.5,1.5,3452742.006618,36685383.820316,56107057.607542
B003,Cedar Manufacturing,Business services,GB,GBP,2025-09-30,29082393.650607,0.035,0.39,82085477.649276,18414047.769811,41546276.643724,6647404.262996,3323702.131498,4.5,1.5,3323702.131498,35314335.147166,54010159.636841
B003,Cedar Manufacturing,Business services,GB,GBP,2025-12-31,29664041.523619,0.037,0.398,80361682.618642,17861626.336716,40507619.727631,6288444.432794,3489887.238073,4.5,1.5,3323702.131498,35314335.147166,54010159.636841
B003,Cedar Manufacturing,Business services,GB,GBP,2026-03-31,30245689.396631,0.039,0.406,78674087.28365,17325777.546615,39494929.23444,5948868.433423,3656072.344648,4.5,1.5,3323702.131498,35314335.147166,54010159.636841
